1|"The Rolling Stones"|1964|12
2|"England's Newest Hit Makers"|1964|0
3|"12 X 5"|1964|0
4|"The Rolling Stones No. 2"|1965|0
5|"The Rolling Stones, Now!"|1965|0
6|"Out of Our Heads (US)"|1965|0
7|"Out of Our Heads (UK)"|1965|0
8|"December's Children (And Everybody's)"|1965|0
9|"Aftermath (UK)"|1966|0
10|"Aftermath (US)"|1966|0
11|"Between the Buttons (UK)"|1967|0
12|"Between the Buttons (US)"|1967|0
13|"Their Satanic Majesties Request"|1967|0
14|"Beggars Banquet"|1968|0
15|"Let It Bleed"|1969|0
16|"Sticky Fingers"|1971|0
17|"Exile on Main St."|1972|18
18|"Goats Head Soup"|1973|0
19|"It's Only Rock 'n Roll"|1974|0
20|"Black and Blue"|1976|0
21|"Some Girls"|1978|10
22|"Emotional Rescue"|1980|0
23|"Tattoo You"|1981|0
24|"Undercover"|1983|0
25|"Dirty Work"|1986|0
26|"Steel Wheels"|1989|0
27|"Voodoo Lounge"|1994|0
28|"Bridges to Babylon"|1997|0
29|"A Bigger Bang"|2005|0
30|"Blue & Lonesome"|2016|12
31|"Hackney Diamonds"|2023|11
